fl_date,mkt_unique_carrier,mkt_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,crs_dep_time,dep_time,dep_delay,crs_arr_time,arr_time,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,distance
2019-08-21,DL,1736,10397,ATL,11066,CMH,2244,2325.0,41.0,23,52.0,29.0,99.0,87.0,63.0,447.0
2018-01-31,WN,274,14679,SAN,10423,AUS,635,629.0,-6.0,1125,1113.0,-12.0,170.0,164.0,142.0,1164.0
2018-07-01,WN,4431,13891,ONT,14831,SJC,640,633.0,-7.0,750,732.0,-18.0,70.0,59.0,51.0,333.0
2019-01-04,AA,3153,11298,DFW,12511,JLN,1020,1014.0,-6.0,1142,1122.0,-20.0,82.0,68.0,53.0,327.0
2018-09-02,B6,702,12478,JFK,10792,BUF,939,931.0,-8.0,1104,1042.0,-22.0,85.0,71.0,51.0,301.0
2019-06-11,DL,6244,11433,DTW,11537,ELM,1602,1554.0,-8.0,1718,1703.0,-15.0,76.0,69.0,48.0,332.0
2019-02-19,DL,705,11066,CMH,10397,ATL,1643,1637.0,-6.0,1825,1838.0,13.0,102.0,121.0,92.0,447.0
2019-04-24,DL,2419,14193,PNS,10397,ATL,635,632.0,-3.0,851,839.0,-12.0,76.0,67.0,47.0,271.0
2018-02-19,AA,5019,11278,DCA,12478,JFK,1930,1929.0,-1.0,2054,2230.0,96.0,84.0,181.0,53.0,213.0
2018-02-11,UA,437,12266,IAH,11292,DEN,1826,1830.0,4.0,2005,2002.0,-3.0,159.0,152.0,123.0,862.0
2019-08-16,DL,478,13204,MCO,10397,ATL,620,618.0,-2.0,755,745.0,-10.0,95.0,87.0,60.0,404.0
2019-12-22,AS,334,14771,SFO,11618,EWR,2130,2152.0,22.0,555,612.0,17.0,325.0,320.0,280.0,2565.0
2018-03-02,UA,339,10721,BOS,11292,DEN,744,808.0,24.0,1029,1032.0,3.0,285.0,264.0,242.0,1754.0
2019-03-26,AA,2976,10693,BNA,13930,ORD,1925,1914.0,-11.0,2114,2100.0,-14.0,109.0,106.0,74.0,409.0
2018-08-18,HA,590,12982,LIH,12758,KOA,1138,1127.0,-11.0,1233,1223.0,-10.0,55.0,56.0,41.0,263.0
2018-06-22,AA,5044,10431,AVL,11057,CLT,1114,1118.0,4.0,1220,1221.0,1.0,66.0,63.0,24.0,91.0
2018-08-24,AA,2466,14908,SNA,14107,PHX,1928,1926.0,-2.0,2045,2120.0,35.0,77.0,114.0,80.0,338.0
2018-06-01,AA,5104,11057,CLT,12197,HPN,1449,1528.0,39.0,1649,1727.0,38.0,120.0,119.0,98.0,564.0
2019-02-01,AA,831,11433,DTW,11057,CLT,1902,2027.0,85.0,2059,2158.0,59.0,117.0,91.0,64.0,500.0
2018-01-24,AA,5344,12264,IAD,11057,CLT,704,652.0,-12.0,847,832.0,-15.0,103.0,100.0,70.0,322.0
2019-06-05,B6,255,10721,BOS,11278,DCA,827,817.0,-10.0,1003,954.0,-9.0,96.0,97.0,72.0,399.0
2019-10-17,AS,1929,12892,LAX,14771,SFO,1330,1328.0,-2.0,1500,1451.0,-9.0,90.0,83.0,56.0,337.0
2018-02-19,WN,1669,12889,LAS,11433,DTW,855,855.0,0.0,1550,1534.0,-16.0,235.0,219.0,183.0,1749.0
2019-07-15,DL,3466,12478,JFK,10785,BTV,2230,2215.0,-15.0,10,2350.0,-20.0,100.0,95.0,45.0,266.0
2019-04-10,UA,5146,13930,ORD,14952,SPI,1700,1704.0,4.0,1804,1804.0,0.0,64.0,60.0,40.0,174.0
2019-12-26,AA,4128,12451,JAX,13930,ORD,701,656.0,-5.0,848,822.0,-26.0,167.0,146.0,120.0,864.0
2018-06-07,WN,1296,12889,LAS,14107,PHX,2005,2018.0,13.0,2115,2121.0,6.0,70.0,63.0,46.0,255.0
2018-10-19,UA,717,12892,LAX,12266,IAH,2359,9.0,10.0,510,521.0,11.0,191.0,192.0,161.0,1379.0
2018-08-05,WN,5055,14893,SMF,14908,SNA,725,722.0,-3.0,850,846.0,-4.0,85.0,84.0,71.0,404.0
2019-12-02,AA,2413,10423,AUS,12892,LAX,604,602.0,-2.0,731,722.0,-9.0,207.0,200.0,177.0,1242.0
2018-03-05,DL,4706,14252,PSC,14869,SLC,1222,1217.0,-5.0,1502,1458.0,-4.0,100.0,101.0,73.0,521.0
2018-03-23,NK,556,10397,ATL,10821,BWI,1859,1853.0,-6.0,2045,2037.0,-8.0,106.0,104.0,87.0,577.0
2019-05-15,AA,4415,12478,JFK,11278,DCA,1714,1706.0,-8.0,1846,1823.0,-23.0,92.0,77.0,60.0,213.0
2018-01-16,WN,6511,14107,PHX,14893,SMF,1905,1924.0,19.0,2005,2027.0,22.0,120.0,123.0,108.0,647.0
2018-01-10,WN,2086,13495,MSY,15304,TPA,2055,2050.0,-5.0,2315,2309.0,-6.0,80.0,79.0,66.0,488.0
2019-03-10,DL,738,12953,LGA,13487,MSP,1145,1143.0,-2.0,1406,1344.0,-22.0,201.0,181.0,161.0,1020.0
2019-01-02,UA,1798,14771,SFO,14679,SAN,1824,1933.0,69.0,1952,2056.0,64.0,88.0,83.0,67.0,447.0
2019-06-29,DL,2088,10397,ATL,12992,LIT,1050,1050.0,0.0,1120,1111.0,-9.0,90.0,81.0,64.0,453.0
2019-05-18,DL,643,14747,SEA,12264,IAD,2240,2239.0,-1.0,642,635.0,-7.0,302.0,296.0,280.0,2306.0
2019-12-09,AS,942,12173,HNL,14747,SEA,1605,1604.0,-1.0,4,2357.0,-7.0,359.0,353.0,306.0,2677.0
2019-11-11,F9,615,13303,MIA,11292,DEN,655,701.0,6.0,925,944.0,19.0,270.0,283.0,235.0,1709.0
2019-01-04,UA,1498,12266,IAH,14635,RSW,730,724.0,-6.0,1039,1035.0,-4.0,129.0,131.0,109.0,861.0
2019-08-06,DL,591,12451,JAX,10397,ATL,1145,1207.0,22.0,1304,1316.0,12.0,79.0,69.0,44.0,270.0
2018-11-08,AA,2230,13303,MIA,12266,IAH,2201,2258.0,57.0,2352,50.0,58.0,171.0,172.0,154.0,964.0
2019-10-07,DL,5110,12953,LGA,14122,PIT,2100,2052.0,-8.0,2243,2241.0,-2.0,103.0,109.0,57.0,335.0
2018-10-17,B6,1036,14843,SJU,15024,STT,1524,1520.0,-4.0,1558,1549.0,-9.0,34.0,29.0,17.0,68.0
2018-09-26,DL,1531,14771,SFO,14869,SLC,1019,1117.0,58.0,1315,1406.0,51.0,116.0,109.0,83.0,599.0
2018-04-25,WN,946,12889,LAS,13796,OAK,725,725.0,0.0,855,847.0,-8.0,90.0,82.0,67.0,407.0
2018-11-18,NK,834,15304,TPA,10821,BWI,1015,1010.0,-5.0,1227,1215.0,-12.0,132.0,125.0,104.0,842.0
2019-10-27,WN,4323,11259,DAL,10397,ATL,1635,1633.0,-2.0,1945,1920.0,-25.0,130.0,107.0,91.0,721.0
2019-07-27,AS,2319,12003,GTF,14747,SEA,700,657.0,-3.0,750,733.0,-17.0,110.0,96.0,82.0,512.0
2019-07-03,DL,3815,10397,ATL,10980,CHA,1025,1022.0,-3.0,1120,1103.0,-17.0,55.0,41.0,27.0,106.0
2018-02-14,UA,5284,13891,ONT,14771,SFO,2020,2019.0,-1.0,2152,2158.0,6.0,92.0,99.0,62.0,363.0
2019-07-07,DL,3710,14683,SAT,11433,DTW,1739,1739.0,0.0,2150,2143.0,-7.0,191.0,184.0,155.0,1214.0
2018-10-12,AA,5008,14100,PHL,13931,ORF,810,1053.0,163.0,918,1229.0,191.0,68.0,96.0,39.0,212.0
2018-02-05,AA,3740,13930,ORD,11618,EWR,1509,1640.0,91.0,1817,2014.0,117.0,128.0,154.0,93.0,719.0
2019-08-13,AA,5715,13851,OKC,11298,DFW,1654,1655.0,1.0,1757,1804.0,7.0,63.0,69.0,34.0,175.0
2018-08-08,WN,1311,10140,ABQ,14679,SAN,1350,1417.0,27.0,1440,1456.0,16.0,110.0,99.0,88.0,628.0
2019-08-02,AS,556,12892,LAX,11618,EWR,2120,2117.0,-3.0,550,527.0,-23.0,330.0,310.0,287.0,2454.0
2019-07-12,UA,306,11292,DEN,12266,IAH,1050,1118.0,28.0,1412,1425.0,13.0,142.0,127.0,112.0,862.0
2018-01-10,B6,828,13204,MCO,11618,EWR,1422,1422.0,0.0,1706,1709.0,3.0,164.0,167.0,139.0,937.0
2019-10-15,WN,32,10693,BNA,11278,DCA,2120,2116.0,-4.0,2355,2335.0,-20.0,95.0,79.0,65.0,562.0
2018-12-15,B6,326,15304,TPA,12478,JFK,641,631.0,-10.0,915,900.0,-15.0,154.0,149.0,118.0,1005.0
2019-12-04,UA,4727,11292,DEN,12992,LIT,1551,1553.0,2.0,1902,1844.0,-18.0,131.0,111.0,88.0,771.0
2018-04-04,AA,5290,11057,CLT,12945,LEX,1250,1247.0,-3.0,1400,1445.0,45.0,70.0,118.0,51.0,281.0
2019-09-20,UA,5888,10599,BHM,13930,ORD,911,923.0,12.0,1124,1119.0,-5.0,133.0,116.0,94.0,583.0
2018-02-19,AA,4713,10397,ATL,11278,DCA,907,900.0,-7.0,1100,1115.0,15.0,113.0,135.0,89.0,547.0
2019-12-22,DL,2457,10397,ATL,10529,BDL,731,726.0,-5.0,942,943.0,1.0,131.0,137.0,120.0,859.0
2019-02-12,B6,4,14843,SJU,12478,JFK,2126,2256.0,90.0,21,126.0,65.0,235.0,210.0,194.0,1598.0
2019-11-30,WN,4920,10423,AUS,11259,DAL,1405,1419.0,14.0,1505,1519.0,14.0,60.0,60.0,37.0,189.0
2019-09-24,DL,697,11618,EWR,13487,MSP,1739,1734.0,-5.0,1944,1938.0,-6.0,185.0,184.0,157.0,1008.0
2018-08-21,AA,602,13930,ORD,14107,PHX,1350,1348.0,-2.0,1528,1526.0,-2.0,218.0,218.0,196.0,1440.0
2019-08-08,UA,4693,13930,ORD,11066,CMH,645,639.0,-6.0,908,851.0,-17.0,83.0,72.0,48.0,296.0
2018-03-11,AA,5552,11057,CLT,14730,SDF,1549,1700.0,71.0,1713,1820.0,67.0,84.0,80.0,54.0,335.0
2019-03-05,AA,5433,14100,PHL,11995,GSO,1327,1401.0,34.0,1456,1533.0,37.0,89.0,92.0,69.0,365.0
2018-03-30,WN,5898,13495,MSY,12191,HOU,910,907.0,-3.0,1025,1017.0,-8.0,75.0,70.0,55.0,302.0
2018-06-09,UA,810,13930,ORD,14771,SFO,1245,1314.0,29.0,1519,1553.0,34.0,274.0,279.0,239.0,1846.0
2018-04-26,AS,181,14893,SMF,14747,SEA,640,628.0,-12.0,833,835.0,2.0,113.0,127.0,91.0,605.0
2018-12-07,UA,5960,14771,SFO,15376,TUS,1905,1901.0,-4.0,2217,2157.0,-20.0,132.0,116.0,96.0,751.0
2019-05-23,AA,3002,13930,ORD,11042,CLE,732,723.0,-9.0,949,948.0,-1.0,77.0,85.0,51.0,315.0
2018-10-03,AA,2506,13930,ORD,14100,PHL,2200,2216.0,16.0,56,111.0,15.0,116.0,115.0,88.0,678.0
2018-08-26,B6,2020,11697,FLL,13933,ORH,1452,1446.0,-6.0,1757,1749.0,-8.0,185.0,183.0,168.0,1211.0
2018-01-31,UA,5170,12255,HYS,11292,DEN,1755,1749.0,-6.0,1816,1801.0,-15.0,81.0,72.0,53.0,298.0
2018-04-29,UA,5978,11292,DEN,10561,BFL,1856,1855.0,-1.0,2030,2034.0,4.0,154.0,159.0,142.0,845.0
2019-10-24,DL,2795,13487,MSP,14869,SLC,835,831.0,-4.0,1030,1000.0,-30.0,175.0,149.0,127.0,991.0
2019-07-02,WN,698,14321,PWM,10821,BWI,1720,1720.0,0.0,1905,1850.0,-15.0,105.0,90.0,77.0,452.0
2019-03-26,AS,2064,14747,SEA,11470,EAT,1750,1748.0,-2.0,1835,1837.0,2.0,45.0,49.0,30.0,99.0
