airport,fl_date,precip,snow,snowdepth,windgust,cloudcover,weather
ATL,2018-01-01,0.0,0.0,0.0,40.7,74.3,cloudy
ATL,2018-01-02,0.0,0.0,0.0,0.0,29.6,cloudy
ATL,2018-01-03,0.0,0.0,0.0,29.5,67.1,cloudy
ATL,2018-01-04,0.0,0.0,0.0,51.8,6.9,wind
ATL,2018-01-05,0.0,0.0,0.0,37.1,28.0,cloudy
ATL,2018-01-06,0.0,0.0,0.0,33.5,31.6,cloudy
ATL,2018-01-07,0.0,0.0,0.0,27.7,63.8,cloudy
ATL,2018-01-08,6.7,0.0,0.0,0.0,97.1,rainy
ATL,2018-01-09,0.0,0.0,0.0,0.0,69.2,cloudy
ATL,2018-01-10,0.0,0.0,0.0,35.3,94.1,cloudy
ATL,2018-01-11,1.66,0.0,0.0,0.0,93.0,rainy
ATL,2018-01-12,11.84,0.0,0.0,55.6,89.3,rainy
ATL,2018-01-13,0.0,0.0,0.0,62.3,59.6,wind
ATL,2018-01-14,0.0,0.0,0.0,46.4,32.3,wind
ATL,2018-01-15,0.0,0.0,0.0,0.0,31.8,cloudy
ATL,2018-01-16,0.3,3.13,3.12,35.3,69.4,snow
ATL,2018-01-17,3.67,1.74,5.0,55.6,40.0,snow
ATL,2018-01-18,0.0,0.0,5.0,27.7,0.0,sunny
ATL,2018-01-19,0.0,0.0,3.7,0.0,16.1,sunny
ATL,2018-01-20,0.0,0.0,1.04,31.7,33.3,cloudy
ATL,2018-01-21,0.0,0.0,0.0,0.0,30.0,cloudy
ATL,2018-01-22,20.73,0.0,0.0,51.8,99.6,rainy
ATL,2018-01-23,0.0,0.0,0.0,49.6,65.7,wind
ATL,2018-01-24,0.0,0.0,0.0,46.4,39.9,cloudy
ATL,2018-01-25,0.0,0.0,0.0,0.0,28.4,cloudy
ATL,2018-01-26,0.0,0.0,0.0,31.7,84.4,cloudy
ATL,2018-01-27,1.53,0.0,0.0,0.0,98.8,rainy
ATL,2018-01-28,31.95,0.0,0.0,0.0,95.3,rainy
ATL,2018-01-29,0.6,0.0,0.0,55.2,53.1,rainy
ATL,2018-01-30,0.0,0.0,0.0,51.7,41.5,wind
ATL,2018-01-31,0.0,0.0,0.0,31.7,42.3,cloudy
ATL,2018-02-01,0.0,0.0,0.0,44.5,82.6,cloudy
ATL,2018-02-02,2.3,0.0,0.0,54.6,69.6,rainy
ATL,2018-02-03,0.0,0.0,0.0,27.7,92.3,cloudy
ATL,2018-02-04,36.19,0.0,0.0,31.7,99.5,rainy
ATL,2018-02-05,0.0,0.0,0.0,35.3,20.3,sunny
ATL,2018-02-06,0.0,0.0,0.0,0.0,75.9,cloudy
ATL,2018-02-07,41.19,0.0,0.0,50.0,97.7,rainy
ATL,2018-02-08,0.0,0.0,0.0,31.7,52.4,wind
ATL,2018-02-09,4.03,0.0,0.0,33.5,74.7,rainy
ATL,2018-02-10,15.83,0.0,0.0,35.3,79.1,rainy
ATL,2018-02-11,19.23,0.0,0.0,38.9,100.0,rainy
ATL,2018-02-12,1.39,0.0,0.0,0.0,99.8,rainy
ATL,2018-02-13,0.3,0.0,0.0,35.3,98.7,rainy
ATL,2018-02-14,0.0,0.0,0.0,0.0,99.6,cloudy
ATL,2018-02-15,0.56,0.0,0.0,31.7,95.4,rainy
ATL,2018-02-16,0.5,0.0,0.0,48.0,86.8,rainy
